direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Mario Kreutzberger, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",246.5,Gastos comunes aproximados $ 35.000,26 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Houm,Departamento Mario Kreutzberger Id: 89470,https://www.portalinmobiliario.com/MLC-1653463512-departamento-mario-kreutzberger-id-89470-_JM#position=8&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4358435,-70.6593312,Santiago
"Sargento Aldea 1156, Parque O'Higgins, Santiago, RM (Metropolitana)",259.0,,45 m² totales / 2 dormitorios / 1 baño,3,2023-05-17,Publicado hace 6 días,Sargento Aldea/ San Diego - 2 Dormitorios ,https://www.portalinmobiliario.com/MLC-1655203392-sargento-aldea-san-diego-2-dormitorios-_JM#position=9&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.468782195918365,-70.64908206530612,Santiago
"Rosas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",280.0,,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 2 días por Houm,Departamento Rosas Id: 32102,https://www.portalinmobiliario.com/MLC-1670447212-departamento-rosas-id-32102-_JM#position=10&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4359242,-70.660568,Santiago
"Manuel Antonio Tocornal 532, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",260.0,Gastos comunes aproximados $ 80.000,33 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 2 días,Cómodo Departamento 1308 En Metro Santa Isabel,https://www.portalinmobiliario.com/MLC-1669866412-comodo-departamento-1308-en-metro-santa-isabel-_JM#position=11&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.449921372000006,-70.640069072,Santiago
"Avenida Santa Rosa 237, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",291.0,Gastos comunes aproximados $ 71.000,34 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 2 días por Blue Home,"Santa Rosa 237 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1669621926-santa-rosa-237-departamento-1d1b-santiago-_JM#position=12&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4470947,-70.64555429079586,Santiago
"Domeyko 2010, Santiago, Chile, Ejército - Toesca, Santiago, RM (Metropolitana)",300.0,Gastos comunes aproximados $ 60.000,38 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días,¡¡ Sin Comisión !! Departamento 1d Y 1b En Domeyko.,https://www.portalinmobiliario.com/MLC-1660360184--sin-comision-departamento-1d-y-1b-en-domeyko-_JM#position=13&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.45618575,-70.662925128614,Santiago
"Chacabuco 1120, Santiago, Chile, Parque Los Reyes, Santiago, RM (Metropolitana)",300.0,Gastos comunes aproximados $ 80.000,45 m² totales / 2 dormitorios / 1 baño,3,2023-05-17,Publicado hace 5 días,¡¡ Sin Comisión !! Departamento 2d Y 1b En Chacabuco.,https://www.portalinmobiliario.com/MLC-1383682871--sin-comision-departamento-2d-y-1b-en-chacabuco-_JM#position=14&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.0285624,-70.6907886,Santiago
"Santa Isabel 951, Santiago, Chile, San Diego, Santiago, RM (Metropolitana)",295.0,Gastos comunes aproximados $ 70.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días,Departamento 1d Y 1b En Santa Isabel. Metro Parque Almagro.,https://www.portalinmobiliario.com/MLC-1659609284-departamento-1d-y-1b-en-santa-isabel-metro-parque-almagro-_JM#position=15&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.45080965,-70.648608477035,Santiago
"Presidente Balmaceda, Parque Los Reyes, Santiago, RM (Metropolitana)",250.0,Gastos comunes aproximados $ 47.000,20 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Houm,Departamento Presidente Balmaceda Id: 102614,https://www.portalinmobiliario.com/MLC-1383569257-departamento-presidente-balmaceda-id-102614-_JM#position=16&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.3607227,-70.7430218,Santiago
"Teatinos 251, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",280.0,Gastos comunes aproximados $ 45.000,38 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días,Departamento 1d Y 1b En Teatinos. Metro Santa Ana,https://www.portalinmobiliario.com/MLC-1660361984-departamento-1d-y-1b-en-teatinos-metro-santa-ana-_JM#position=17&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.44069472,-70.65489804,Santiago
