from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
4179,14995,60.0,"['F05', 'L4V', 'L5V', 'L6', 'L2R', '507']","['PF75', '34', '98', '61', '29', 'PA450']","['PF272', '98', '61', '29', '70', 'PA322']","[4.2, 9.3, 11.9, 4.0, 1.6, 3.6]",4.7,3.3,2.5,"[1.3, 1.0, 2.3, 2.6, 1.0, 2.7]",55.8,1
4180,14995,95.0,"['C10e', 'L1', 'L2', '506']","['PC1071', '93', '44', 'PA450']","['PC1220', '44', '70', 'PA452']","[17.6, 12.6, 2.8, 2.8]",35.9,4.6,5.6,"[4.3, 2.0, 1.7, 2.6]",92.7,1
4181,14995,42.0,"['L1', '119']","['93', 'PA273']","['83', 'PA276']","[13.9, 4.2]",12.0,4.3,5.8,"[1.5, 1.2]",42.9,1
4182,14995,68.0,"['C05', '225', 'L1', 'L2R', '506v']","['PC240', 'PC1104', '40', '44', 'PA450']","['PC1104', 'PC1067', '44', '70', 'PA452']","[9.3, 6.4, 21.5, 2.6, 3.3]",7.2,4.6,2.6,"[1.8, 1.1, 1.6, 1.6, 2.1]",65.7,1
4183,14995,45.0,"['L1', 'L2R', '507']","['3', '44', 'PA450']","['44', '70', 'PA322']","[15.2, 2.6, 3.6]",12.1,3.3,1.3,"[2.1, 1.2, 3.2]",44.6,22
4184,14995,51.0,"['C18', 'L1', '507']","['PC68', '27', 'PA335']","['PC906', '38', 'PA433']","[5.7, 19.1, 6.8]",3.8,3.4,6.5,"[2.9, 1.7, 1.2]",51.0,4
4185,14995,72.0,"['C27', 'L1', 'L2R', '507']","['PC1263', '40', '44', 'PA450']","['PC1064', '44', '70', 'PA322']","[14.5, 21.5, 2.6, 3.6]",20.5,3.3,2.8,"[1.8, 1.5, 2.4, 1.1]",75.7,1
4186,14995,42.0,"['L1', 'L2R', '509']","['93', '44', 'PA450']","['44', '70', 'PA452']","[12.6, 2.6, 3.3]",12.0,4.6,1.3,"[2.6, 2.2, 1.2]",42.3,3
4187,14995,54.0,"['425', 'L1', '507']","['PC53', '27', 'PA335']","['PC57', '38', 'PA433']","[7.5, 19.1, 6.8]",7.7,3.4,6.0,"[2.8, 1.2, 1.4]",55.8,3
4188,14995,61.0,"['C05', 'L1', 'L2R', '507']","['PC244', '33', '44', 'PA450']","['PC727', '44', '70', 'PA322']","[11.1, 20.0, 2.6, 3.6]",4.2,3.3,9.0,"[1.4, 1.0, 2.3, 1.8]",60.3,2
