direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Curicó 37, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",600.000,,80 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 43 días,"2d+1b+servicio,  Metro Bustamante, Calle Curicó Con Vicuña",https://www.portalinmobiliario.com/MLC-1369958649-2d1bservicio-metro-bustamante-calle-curico-con-vicuna-_JM#position=13&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.44341635714286,-70.63401088571429,Santiago
"Lira 570, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",500.000,Gastos comunes aproximados $ 95.000,48 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 38 días,Hermoso Departamento En Arriendo ,https://www.portalinmobiliario.com/MLC-1371793657-hermoso-departamento-en-arriendo-_JM#position=14&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.44989904285714,-70.63869887142856,Santiago
"San Isidro 154, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",490.000,Gastos comunes aproximados $ 70.000,68 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 2 meses,Buen Departamento. Amplio A 3 Cuadras Metro Santa Lucia,https://www.portalinmobiliario.com/MLC-1610326714-buen-departamento-amplio-a-3-cuadras-metro-santa-lucia-_JM#position=15&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.4452774,-70.6441545,Santiago
"Argomedo, Santa Isabel, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 85.000,41 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 10 días por Fuenzalida Plaza Egaña,Departamento En Arriendo De 2 Dorm. En Santiago,https://www.portalinmobiliario.com/MLC-1640238726-departamento-en-arriendo-de-2-dorm-en-santiago-_JM#position=16&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.4497984,-70.6363841,Santiago
"Compañía De Jesús 1200 - 1500, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2.100,,35 m² totales / 1 dormitorio / 1 baño,3,2023-05-19,Publicado hace 27 días,En Venta Departamento Calle Compañía - Metro Santa Ana,https://www.portalinmobiliario.com/MLC-1569126050-en-venta-departamento-calle-compania-metro-santa-ana-_JM#position=17&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.4390414,-70.65674,Santiago
"Carmen 644, Barrio Diez de Julio, Santiago, RM (Metropolitana)",493.000,Gastos comunes aproximados $ 95.000,2 dormitorios / 2 baños,2,2023-05-19,Publicado hace 30 días por Assetplan Chile,Edificio Carmen (1 Est. 1 Bod.) Piso 9,https://www.portalinmobiliario.com/MLC-1374451001-edificio-carmen-1-est-1-bod-piso-9-_JM#position=18&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.45591830776699,-70.6396126330097,Santiago
"Vicuña Mackenna, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",12,Gastos comunes aproximados U$S 2.107<sup>03</sup>,36 m² totales / 1 dormitorio / 1 baño,3,2023-05-19,Publicado hace 14 días por Property Partners,Arriendo Departamento Cercano A Metro Irarrázaval.,https://www.portalinmobiliario.com/MLC-1620897434-arriendo-departamento-cercano-a-metro-irarrazaval-_JM#position=21&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.5197565,-70.5961907,Santiago
"Carmen , 2d Y 2b, Santa Isabel, Santiago, RM (Metropolitana)",520.000,,67 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 7 días,Departamento En Arriendo De 2 Dorm. En Santiago,https://www.portalinmobiliario.com/MLC-1383498345-departamento-en-arriendo-de-2-dorm-en-santiago-_JM#position=22&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.457579,-70.6395354,Santiago
"Franklin 200, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",14,Gastos comunes aproximados $ 100.000,54 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 14 días,"Arriendo Departamento 2 Dormitorios En Santiago, E Y Bodega",https://www.portalinmobiliario.com/MLC-1615443350-arriendo-departamento-2-dormitorios-en-santiago-e-y-bodega-_JM#position=26&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.47156877,-70.628334165,Santiago
"Fray Camilo Henriquez 650, Barrio Diez de Julio, Santiago, RM (Metropolitana)",490.000,,60 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 12 días,Arriendo Departamento Amplio 2d 2b En Pleno Centro,https://www.portalinmobiliario.com/MLC-1381189821-arriendo-departamento-amplio-2d-2b-en-pleno-centro-_JM#position=27&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.450111899999996,-70.63321821527396,Santiago
